"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"ab5cf4","N831KB  ","United States","1653417366","1653417367","-80.7422","26.6617","8732.52","FALSE","225.63","299.96","-8.45",NA,"9204.96",NA,"FALSE","0","0"
"a34215","EDV5512 ","United States","1653417366","1653417366","-73.1088","41.7655","4168.14","FALSE","192.13","240.48","-0.65",NA,"4297.68","3475","FALSE","0","1"
"3945f7","XK105CE ","France","1653417366","1653417366","7.797","42.8731","4572","FALSE","118.61","147.76","-0.33",NA,"4709.16",NA,"FALSE","0","1"
"4952ab","TAP117  ","Portugal","1653417293","1653417365","-45.3795","-21.2644","12192","FALSE","225.33","216.74","-0.33",NA,"12778.74",NA,"FALSE","0","0"
"a36878","MJS3451 ","United States","1653417364","1653417365","-93.2742","36.8484","8260.08","FALSE","217.08","70.19","6.83",NA,"8549.64","4127","FALSE","0","0"
"a2355d","SKW3654 ","United States","1653417365","1653417366","-121.3407","36.0981","9753.6","FALSE","215.78","323.92","0",NA,"10241.28","7670","FALSE","0","4"
"44028c","EJU92KQ ","Austria","1653417366","1653417366","3.3365","47.1666","10294.62","FALSE","207.73","156.04","5.53",NA,"10363.2",NA,"FALSE","0","4"
"adeca5","AAL2728 ","United States","1653417366","1653417367","-77.4736","39.0216","8534.4","FALSE","226.09","218.9","0",NA,"8892.54","1770","FALSE","0","1"
"a2228b","ASA108  ","United States","1653417366","1653417366","-116.9654","32.7005","1211.58","FALSE","108.36","220.57","-4.88",NA,"1203.96","1652","FALSE","0","4"
"aad012","UAL1991 ","United States","1653417164","1653417165","-107.2683","39.7069","11582.4","FALSE","238.2","261.55","0",NA,"11696.7","4331","FALSE","0","1"
"aa9f1c","SWA318  ","United States","1653417366","1653417366","-123.2144","43.9973","838.2","FALSE","125.32","356","-0.98",NA,"891.54","3670","FALSE","0","1"
"4952b2","TAP283  ","Portugal","1653417131","1653417311","-9.1386","38.7696",NA,"TRUE","2.06","202.5",NA,NA,NA,NA,"FALSE","0","0"
"4b1855","HBJFP   ","Switzerland","1653417366","1653417367","5.9095","46.272","2827.02","FALSE","124.8","191.17","-7.15",NA,"2887.98","6374","TRUE","0","4"
"acdfdf","N929CV  ","United States","1653417366","1653417366","-82.1732","28.2336","1264.92","FALSE","92.78","189.25","-5.53",NA,"1325.88","4060","FALSE","0","2"
"ae13a6","TIGER61 ","United States","1653417366","1653417366","-100.1522","28.9491","4930.14","FALSE","118.17","194.88","7.8",NA,"5120.64",NA,"FALSE","0","0"
"e80259","LPE2360 ","Chile","1653417333","1653417333","-77.1515","-11.7279","6080.76","FALSE","197.93","39.94","9.75",NA,NA,NA,"FALSE","0","1"
"ab0361","AAL446  ","United States","1653417366","1653417366","-77.0634","39.4142","8846.82","FALSE","225.94","219.27","7.8",NA,"9204.96","2451","FALSE","0","1"
"abb3b6","AAL1592 ","United States","1653417366","1653417366","-104.0799","31.7403","9753.6","FALSE","202.66","277","0",NA,"9966.96",NA,"FALSE","0","1"
"a6f0f5","OSU54   ","United States","1653417366","1653417366","-83.0645","40.0777","335.28","FALSE","34.53","86.58","3.58",NA,"350.52",NA,"FALSE","0","0"
"e8024a","ARE4270 ","Chile","1653417296","1653417299","-80.1147","9.7852","10980.42","FALSE","228.65","331.07","0",NA,"11696.7",NA,"FALSE","0","0"
"a007c6","N1005L  ","United States","1653417331","1653417331","-81.7745","27.9916","609.6","FALSE","49.7","62.9","0",NA,"624.84",NA,"FALSE","0","0"
"e4944e","TAM3086 ","Brazil","1653416287","1653417366","-44.8887","-21.0122","11262.36","FALSE","230.68","18.19","0",NA,"11871.96",NA,"FALSE","0","0"
"4952a5","TAP089  ","Portugal","1653417207","1653417207","-38.6682","-11.4332","11582.4","FALSE","249.96","210.42","0",NA,"12260.58",NA,"FALSE","0","0"
"4b182f","HBJED   ","Switzerland","1653417366","1653417366","19.1989","47.0076","11887.2","FALSE","235.07","156.8","0",NA,"12176.76","6017","FALSE","0","0"
"e49450","TAM3089 ","Brazil","1653417366","1653417366","-46.7866","-22.5454","7368.54","FALSE","187.4","223.55","-8.45",NA,"7741.92",NA,"FALSE","0","0"
"e80261","LNE1412 ","Chile",NA,"1653417124",NA,NA,NA,"FALSE","234.27","97.95","-13.33",NA,NA,NA,"FALSE","0","1"
"aae34c","EJA800  ","United States","1653417366","1653417366","-119.4714","38.0841","11887.2","FALSE","252.31","185.73","-0.33",NA,"12313.92",NA,"FALSE","0","0"
"a8e37c","DAL253  ","United States","1653417366","1653417366","-73.5804","40.5027","2301.24","FALSE","146.49","138.42","10.08",NA,"2369.82","1715","FALSE","0","0"
"ac83d5","EDV5502 ","United States","1653417366","1653417366","-93.2149","44.6525","3169.92","FALSE","160.47","355.59","-6.83",NA,"3230.88",NA,"FALSE","0","1"
"a58e1e","SWA1507 ","United States","1653417102","1653417102","-87.9194","41.9725",NA,"TRUE","7.46","90",NA,NA,NA,"1435","FALSE","0","0"
"a53ec4","SKW5601 ","United States","1653417366","1653417366","-90.8383","41.5111","3680.46","FALSE","145.12","271.42","12.35",NA,"3779.52",NA,"FALSE","0","0"
"ac234f","UAL658  ","United States","1653417363","1653417366","-81.0454","37.7858","8229.6","FALSE","219.38","85.29","0",NA,"8602.98",NA,"FALSE","0","0"
